name;address;number_of_floors;number_of_shops
Тесно;с. Зеленогорск (Ленин.) бул. Морозова д. 1/3 к. 528 435929;1;14
Функция;клх Бронницы пр. Владимирский д. 8/2 к. 35 053610;4;44
Невыносимый;д. Россошь наб. Лесозаводская д. 1 к. 83 849463;17;170
Указанный;к. Сосьва (Хант.) пер. Черемушки д. 4/6 к. 4 737652;5;90
Дрогнуть;п. Павловский Посад бул. Владимирский д. 949 стр. 8/3 569027;12;156
Реклама;ст. Октябрьский (Башк.) пр. Красина д. 5 стр. 8 401015;4;60
Решение;к. Сочи пер. Леонова д. 43 405467;15;180
Крыса;к. Слюдянка бул. Гафури д. 6/7 стр. 9/7 275237;8;104
Свежий;клх Майкоп бул. Горького д. 4/1 к. 10 584115;2;28
Граница;д. Москва бул. Новый д. 6 стр. 539 013519;4;76
Успокоиться;д. Сковородино пер. Колхозный д. 504 к. 75 027425;2;26
Миф;клх Березники наб. Виноградная д. 61 стр. 264 697572;13;247
Поколение;п. Усмань алл. 9 мая д. 843 к. 716 036900;16;192
Головной;п. Нальчик алл. Вишневая д. 8/4 к. 605 199749;8;104
Зато;с. Казань ул. 8-е Марта д. 41 к. 6 410433;13;234
Чем;с. Братск алл. Производственная д. 38 к. 882 716763;18;342
Виднеться;к. Кабанск бул. Горького д. 477 стр. 67 325033;10;200
Заведение;п. Туапсе алл. Серафимовича д. 839 к. 26 345007;12;144
Ягода;к. Кострома бул. Комсомольский д. 86 стр. 913 702601;17;238
Адвокат;п. Усть-Камчатск алл. Беляева д. 8 стр. 9/1 523940;16;176
Скользить;с. Старая Русса пр. Тополиный д. 602 020331;20;300
Функция;г. Мезень пр. Алтайский д. 74 066508;20;360
Около;ст. Грозный наб. Жданова д. 3 к. 728 397546;19;247
Приходить;п. Урюпинск алл. Красина д. 23 стр. 528 346380;18;288
Тревога;ст. Приморско-Ахтарск наб. Болотная д. 2 стр. 9 568429;6;78
Полоска;ст. Кежма ш. Нижнее д. 8 034072;17;272
Угол;ст. Калевала пр. Толстого д. 646 326665;14;168
Блин;г. Ступино алл. Никитина д. 401 стр. 8 829243;16;272
Тесно;ст. Боровск наб. Минина д. 28 к. 9/9 141201;20;300
Адвокат;клх Старый Оскол ш. Некрасова д. 7 стр. 217 617983;16;288
Встать;д. Листвянка (Иркут.) пер. Горняцкий д. 8/1 118483;4;56
Некоторый;г. Льгов бул. Зои Космодемьянской д. 62 стр. 38 884505;20;220
Сохранять;д. Галич пер. Братский д. 91 стр. 92 817222;17;187
Волк;п. Гремячинск (Бурят.) ш. Нагорное д. 7 стр. 7 236661;11;187
Советовать;ст. Старая Русса ш. Вишневое д. 3/7 944774;15;165
Рот;д. Старый Оскол алл. Тургенева д. 84 к. 25 740777;1;16
Премьера;с. Моздок ш. Вокзальное д. 80 стр. 733 155228;13;260
Демократия;с. Данков алл. Байкальская д. 9/3 стр. 5 787606;4;76
Школьный;ст. Великие Луки пер. Беляева д. 4 стр. 301 871404;10;140
Горький;г. Ивдель наб. Циолковского д. 7 к. 6/4 146947;6;108
Ломать;с. Астрахань алл. Громова д. 165 стр. 5 509379;6;108
Прошептать;г. Курильск наб. Макарова д. 332 к. 464 266384;4;44
Ботинок;ст. Оленек пер. Васильковый д. 76 269105;4;44
Песня;к. Адлер пр. Тургенева д. 8 к. 134 910761;1;20
Бровь;с. Шилка пр. Совхозный д. 7 192301;3;54
Счастье;д. Любань пр. Жданова д. 2 стр. 4 547500;16;288
Зима;ст. Шали бул. Черемуховый д. 969 к. 5 059799;3;48
Неожиданно;г. Арсеньев пер. Базарный д. 2 к. 770 562734;9;126
Демократия;ст. Великий Устюг алл. Стахановская д. 2/5 к. 796 287179;9;153
Посвятить;с. Новгород Великий наб. Снежная д. 7 стр. 9 663868;19;228
Коллектив;клх Гаврилов-Ям пер. Красногвардейский д. 3/8 стр. 6/5 179498;6;102
Функция;с. Ревда (Сверд.) пр. 50 лет ВЛКСМ д. 1 765558;12;144
Танцевать;г. Мостовской ш. Сенное д. 516 стр. 3/8 236836;1;14
Идея;д. Сосьва (Хант.) бул. Макарова д. 7/6 стр. 58 226673;18;180
Отражение;ст. Брянск ш. Магистральное д. 50 стр. 4 922933;3;51
Пробовать;д. Шатки пр. Космический д. 419 919235;18;180
Академик;г. Медногорск бул. Большой д. 4 к. 2 988864;8;80
Одиннадцать;клх Мытищи пр. Ивановский д. 910 609769;5;85
Дружно;к. Ясный (Оренб.) наб. Азина д. 5 133271;15;255
Банда;к. Усинск ш. Крупской д. 66 к. 190 768422;9;135
Протягивать;п. Андреаполь пер. Ермака д. 8/3 116308;16;224
Бегать;п. Радужный наб. Смоленская д. 2/9 стр. 9 528894;3;30
Увеличиваться;п. Россошь ш. Краснопартизанское д. 679 стр. 6/2 299996;6;66
Отметить;г. Омск наб. Зеленая д. 2/2 824719;17;221
Кольцо;ст. Москва МГУ алл. Путевая д. 1/2 380254;13;195
Военный;к. Волхов пр. Маркса д. 53 250639;4;44
Термин;к. Оха ул. З.Космодемьянской д. 5/2 к. 1 732209;3;60
Новый;к. Усть-Ордынский ул. Макарова д. 9/4 к. 6/8 626392;12;228
Каюта;п. Темрюк пер. Новый д. 4 к. 268 121522;16;272
Академик;к. Воскресенск бул. Омский д. 29 стр. 8 294785;19;285
Бабочка;д. Белый Яр (Томск.) пр. Путейский д. 3/6 стр. 89 490881;15;165
Ведь;п. Петрозаводск бул. Жукова д. 7/1 к. 23 487405;3;33
Дружно;ст. Канск наб. Розы Люксембург д. 9 к. 655 187747;15;225
Применяться;клх Курганинск алл. Пугачева д. 520 к. 6 690080;10;100
Выраженный;п. Гдов алл. Заводская д. 2 103001;14;210
Невыносимый;г. Соболево наб. Щорса д. 655 747139;4;56
Лететь;клх Тында пер. Щербакова д. 85 159672;17;204
Кидать;к. Березники ш. Шмидта д. 10 к. 58 405581;10;140
Войти;п. Соль-Илецк ул. Сибирская д. 435 к. 245 820168;9;108
Художественный;клх Новый Уренгой ул. Свободная д. 3 к. 5/2 265952;2;30
О;г. Екатеринбург пер. Кольцевой д. 85 200601;8;152
Печатать;г. Уссурийск бул. Высокий д. 10 694479;8;144
Господь;к. Карабулак бул. Хвойный д. 191 стр. 979 776322;5;100
Голубчик;г. Азов (Рост.) алл. Правды д. 510 564392;9;153
Танцевать;п. Павловский Посад ул. Украинская д. 8/7 стр. 7 902345;12;144
Войти;д. Саранск бул. Коминтерна д. 40 к. 7/9 612262;11;165
Горький;д. Великие Луки ш. Зеленое д. 24 820039;4;48
Госпожа;г. Киренск бул. Горького д. 823 стр. 620 487630;4;40
Беспомощный;клх Надым пер. Морской д. 6/4 стр. 9/8 649929;11;132
Беспомощный;п. Печенга пр. Зои Космодемьянской д. 414 728785;4;72
Вообще;ст. Чусовой пер. Сибирский д. 95 759894;8;136
Космос;г. Тихорецк бул. Родниковый д. 9 стр. 3/8 477718;3;57
Одиннадцать;п. Поронайск алл. Заовражная д. 180 к. 111 865760;9;180
Сохранять;д. Ревда (Сверд.) бул. Шевченко д. 8/8 к. 8/7 912078;13;156
Расстегнуть;клх Гагарин пер. Новостройка д. 2 587254;17;187
Грудь;г. Ребриха ул. Семашко д. 836 678817;11;132
Покинуть;п. Нефтегорск (Самар.) пер. Станиславского д. 7 к. 7 307270;19;380
Вперед;д. Миллерово ул. Просторная д. 30 239284;8;144
Миф;с. Долинск пр. Степной д. 1/5 к. 783 369174;10;120
Пропадать;п. Санкт-Петербург ш. Набережное д. 60 стр. 392 811530;10;170
Механический;клх Белый Яр (Томск.) пр. Котовского д. 67 стр. 3/7 909601;15;225
Легко;с. Лабытнанги алл. Королева д. 9 к. 2 326586;7;133
Вперед;г. Усть-Баргузин ул. Химиков д. 91 стр. 76 093093;20;240
Ночь;клх Черский пер. Леонова д. 67 к. 9 299967;8;80
Вывести;клх Октябрьский (Башк.) наб. Энгельса д. 917 810764;17;272
Изображать;д. Вологда алл. Театральная д. 7/6 056897;9;135
Назначить;г. Усмань пер. Центральный д. 6 стр. 188 907094;2;32
Лететь;г. Шали ш. Королева д. 98 534510;15;180
Коробка;г. Пышма ш. Московское д. 5/7 стр. 432 609708;20;400
Полностью;к. Жиганск ул. Коммунаров д. 5/2 стр. 9 656776;17;323
Невыносимый;клх Долинск пер. Космодемьянской д. 91 к. 2/8 697459;5;100
Настать;д. Льгов алл. Транспортная д. 419 292812;4;72
Расстройство;клх Краснокамск ул. Литейная д. 9/9 к. 918 915866;7;84
Смелый;к. Урус-Мартан пер. Дзержинского д. 1/8 к. 9/4 352981;5;50
Пространство;к. Юровск бул. Бабушкина д. 9/2 391969;5;75
Армейский;п. Инта ш. Первомайское д. 63 стр. 63 089604;6;78
Ложиться;п. Вендинга пр. Камский д. 56 к. 600 760249;10;130
Тысяча;ст. Эльтон бул. Пожарского д. 4/1 272295;20;260
Беспомощный;д. Сальск наб. Средняя д. 5 368688;5;55
Исследование;к. Губаха ул. Гоголя д. 3/5 420254;9;99
Миг;д. Чусовой пер. Степана Разина д. 176 493571;18;216
Устройство;п. Энгельс пер. Клары Цеткин д. 98 к. 4/8 863789;17;187
Даль;п. Кяхта ул. Энгельса д. 4 608547;15;210
Процесс;г. Партизанск наб. Театральная д. 6 105089;13;234
Миф;п. Ахтубинск наб. Строительная д. 48 089331;8;136
Ботинок;г. Дивногорск наб. Красных Партизан д. 7/9 стр. 235 704347;14;238
Сустав;г. Луга наб. Троицкая д. 790 к. 75 939106;17;204
Встать;ст. Ребриха пр. Кузнецкий д. 1/5 к. 1 737280;5;100
Секунда;д. Беслан пер. Крылова д. 1/8 к. 3 715855;15;150
Эффект;к. Солнечногорск пер. Дружбы д. 5 стр. 1 839428;7;98
Сустав;г. Чебаркуль пер. Пирогова д. 2 450768;17;272
Инфекция;с. Томари наб. Песочная д. 7/4 стр. 4 021996;13;156
Возмутиться;ст. Березники алл. Бажова д. 581 819521;13;156
Демократия;д. Шахты ш. Лесозаводское д. 4 к. 6 776207;8;152
Бригада;к. Усмань ш. Победы д. 76 526520;4;40
Палата;п. Новый Уренгой пер. Рылеева д. 246 стр. 378 529844;10;180
Выражаться;с. Каспийск ул. Балтийская д. 9/7 стр. 7 827591;4;76
Девка;г. Жиганск алл. Карла Маркса д. 86 к. 851 370018;8;136
Нож;к. Усмань алл. Лунная д. 4 к. 58 738903;19;361
Вчера;клх Октябрьское (Хант.) наб. Тракторная д. 109 872331;3;60
Строительство;ст. Воскресенск ул. Сурикова д. 73 стр. 9/4 003754;18;180
Сомнительный;д. Сочи алл. Цветочная д. 448 стр. 9/8 473402;19;190
Труп;клх Котельнич пр. Дзержинского д. 6 980069;7;98
Заложить;д. Москва пр. Тракторный д. 41 552997;15;150
Выражение;д. Кировск (Мурм.) наб. Путевая д. 8 стр. 580 790348;16;320
Расстегнуть;г. Белокуриха бул. Литейный д. 3 160227;20;200
Порт;с. Егорьевск ш. Запрудное д. 4 127903;6;102
Совет;ст. Бийск бул. Васильковый д. 41 891524;18;234
Засунуть;к. Черемхово пр. Нахимова д. 97 к. 3/9 480174;3;33
Деловой;к. Анапа бул. 50 лет ВЛКСМ д. 8 стр. 96 789626;6;96
Собеседник;с. Сызрань пер. Рябиновый д. 45 856746;19;380
Секунда;п. Верхотурье пр. Почтовый д. 1/9 к. 16 393610;12;228
Роскошный;ст. Инта ш. Коммунаров д. 81 стр. 59 181127;14;154
Мгновение;д. Бронницы бул. Гагарина д. 6/3 стр. 882 979763;18;306
Появление;ст. Арзамас наб. Выгонная д. 7/3 к. 2 470601;4;76
Лететь;с. Беломорск ш. Деповское д. 4/1 435618;16;240
Разводить;г. Невьянск ш. Ветеранов д. 5/7 стр. 110 307727;11;132
Привлекать;к. Химки пер. Победы д. 4 стр. 561 490974;5;65
Рот;с. Сасово ш. Байкальское д. 4/5 стр. 807 944204;16;160
Июнь;ст. Азов (Рост.) пр. Линейный д. 699 064186;13;156
Выкинуть;с. Кущевская ш. Ягодное д. 165 649975;11;176
Возбуждение;д. Магас пр. Петровский д. 4/2 стр. 83 711874;9;108
Низкий;ст. Ступино пр. Путейский д. 9 стр. 3/8 716804;5;65
Спорт;клх Нефедова ш. Володарского д. 50 к. 407 008321;9;180
Означать;клх Челюскин наб. Привокзальная д. 3 стр. 983 236016;16;272
Пастух;клх Тихвин ул. Ленинская д. 6 к. 69 050529;1;14
Освобождение;клх Ульяновск пр. Кооперативный д. 785 313613;14;224
Банк;с. Домодедово бул. Войкова д. 6 стр. 1/3 845223;3;54
Единый;ст. Прохладный алл. Мая 1 д. 5/1 413169;3;42
Вариант;д. Солнечногорск пер. Станиславского д. 9 539062;1;12
Беспомощный;к. Прохладный ш. Калужское д. 36 898790;17;255
Торопливый;с. Жуковский наб. Мельничная д. 4 304284;8;96
Сутки;с. Киренск ш. Николаева д. 7 стр. 73 147526;7;140
Темнеть;д. Якша бул. Бригадный д. 44 стр. 77 163953;9;135
Ставить;п. Бреды бул. Южный д. 7 641623;13;260
Ручей;п. Сеймчан бул. Малый д. 899 к. 7/7 324884;17;255
Песенка;с. Тайшет пр. Пушкина д. 6 к. 93 067058;5;100
Отметить;с. Улан-Удэ бул. Суворова д. 7 856836;7;77
Пропадать;к. Семлячики алл. Сосновая д. 7 к. 177 739868;18;342
Освободить;с. Таштагол наб. Придорожная д. 73 270736;16;288
Рай;г. Оренбург наб. Приморская д. 2/7 043302;12;204
Приятель;с. Яхрома пр. Тельмана д. 8/4 к. 48 869336;8;96
Четыре;ст. Белоярский пер. 30 лет Победы д. 30 750801;16;224
Ход;п. Галич пер. Кузнецова д. 9/5 стр. 7 342821;1;18
Солнце;п. Анадырь пер. Абрикосовый д. 907 к. 7 051443;9;135
Ведь;г. Мураши пр. Свободный д. 565 710781;5;65
Плясать;с. Тулпан ш. Громова д. 72 106938;19;209
Секунда;к. Южноуральск пер. Флотский д. 2 623803;20;200
Угодный;п. Завьялиха бул. Большевистский д. 22 к. 78 640008;4;44
Магазин;клх Кижи пер. Красноармейский д. 3 стр. 778 295706;17;289
Покидать;г. Белый Яр (Томск.) ул. Аэродромная д. 86 стр. 9/9 011997;11;154
Факультет;г. Нефедова ш. Среднее д. 49 к. 3/9 872604;18;306
Правление;д. Снежинск наб. Октября д. 442 к. 791 524058;8;136
Банк;г. Зеленогорск (Ленин.) алл. Тополиная д. 5/3 к. 913 768110;12;228
Естественный;с. Кинешма наб. Кузнецова д. 6 025331;13;156
Сбросить;д. Уренгой ш. Привольное д. 9 469670;13;247
Тысяча;ст. Усинск наб. Солнечная д. 9/4 121404;3;36
Монета;клх Талдом пер. Халтурина д. 9/5 стр. 9/6 042832;4;76
Столетие;клх Алдан наб. Нагорная д. 985 стр. 207 844706;9;90
Коммунизм;г. Невельск алл. Проезжая д. 6 к. 544 376330;8;136
Роскошный;клх Мурманск ш. Фрунзе д. 480 к. 19 525893;17;187
Ботинок;клх Щелково ул. Механическая д. 5/7 к. 348 326250;5;75
Народ;п. Избербаш алл. Волочаевская д. 9/8 779491;8;112
Пропасть;д. Бугульма наб. Гайдара д. 9 640387;4;64
Помимо;г. Можга ул. Фестивальная д. 704 к. 5 744698;1;16
Еврейский;клх Вытегра ул. Юности д. 95 стр. 523 248816;7;112
Вряд;п. Бирск бул. Тамбовский д. 214 к. 3/1 816550;9;117
Тесно;с. Воркута пр. Есенина д. 8/2 к. 4/4 486218;5;60
Необычный;п. Надым пр. Трудовой д. 6/3 стр. 9 278314;6;66
Монета;с. Волоколамск наб. Набережная д. 249 к. 56 481197;6;84
Полностью;клх Мытищи алл. Шишкина д. 448 643903;6;108
Свежий;клх Горячий Ключ бул. Тепличный д. 8 к. 13 375687;5;90
Освобождение;г. Брянск пр. Жукова д. 50 стр. 53 669458;9;108
Поставить;д. Щельяюр пр. Донской д. 1 к. 7/8 653829;1;14
Демократия;п. Невьянск пер. Севастопольский д. 38 стр. 34 880457;1;17
Нажать;д. Нефедова пр. Проезжий д. 73 стр. 128 552578;18;198
Дремать;п. Псебай ш. Олимпийское д. 9 к. 23 797643;5;70
Столетие;к. Серов пр. Рязанский д. 7 к. 76 119220;18;216
Освободить;г. Всеволожск ул. Большевистская д. 1/5 стр. 183 809501;11;209
Военный;ст. Ряжск бул. Береговой д. 5/9 стр. 3 783534;11;209
Парень;д. Малоярославец бул. Революции д. 58 стр. 2/8 936665;16;208
Вряд;с. Карабулак наб. Покровская д. 77 стр. 97 063758;4;72
Трубка;д. Нижневартовск бул. Ясный д. 93 стр. 170 550317;13;208
Число;г. Бологое пер. Космодемьянской д. 647 к. 2 986939;15;255
Командование;клх Сеймчан алл. Песочная д. 3/8 к. 8/7 523448;12;192
Командир;клх Каневская бул. Амурский д. 3 стр. 7/8 328080;9;162
Правый;д. Приморско-Ахтарск наб. Толстого д. 63 стр. 7 657983;1;14
Поздравлять;клх Зеленоград бул. Уральский д. 1 к. 2/1 640966;10;110
Карман;ст. Инта алл. Ясная д. 407 к. 308 058803;9;153
Холодно;д. Шаховская алл. Белинского д. 281 764348;9;180
Вскакивать;ст. Белорецк ш. Тельмана д. 45 к. 3 687926;6;84
Невозможно;к. Малая Вишера пер. Клары Цеткин д. 13 к. 784 914492;13;208
Отметить;д. Усть-Джегута ш. Майское д. 71 стр. 1/7 325222;11;209
Понятный;клх Шилка ш. Крымское д. 53 стр. 354 094325;17;272
Анализ;ст. Пятигорск алл. Войкова д. 591 стр. 7/8 884107;2;22
Девка;г. Баксан пр. Куйбышева д. 3 958082;2;20
Магазин;с. Усолье Сибирское алл. Ермака д. 95 610931;1;17
Число;клх Быково (метеост.) алл. Дальневосточная д. 1 к. 3/8 766204;2;32
Обида;ст. Адлер ул. Кузнечная д. 227 стр. 6/5 799944;17;204
Термин;г. Братск бул. Хвойный д. 24 586051;14;168
Темнеть;г. Усть-Ишим бул. Мелиораторов д. 7/2 106420;4;56
Новый;д. Бомнак пр. Ворошилова д. 27 623010;18;324
Уронить;клх Шереметьево бул. Автомобилистов д. 8/5 к. 2 090251;10;160
Мелочь;д. Можайск ул. Нахимова д. 2 к. 2/9 748605;3;57
Магазин;с. Салехард алл. Подстанция д. 6 537803;8;136
Блин;с. Соболево ул. Невского д. 9 233826;1;19
Танцевать;д. Барнаул ул. Троицкая д. 2/4 888280;11;165
Господь;ст. Нязепетровск алл. Нахимова д. 8/5 к. 5/1 008729;12;216
Наслаждение;к. Пушкинские Горы алл. Монтажников д. 23 610935;18;252
Носок;клх Билибино бул. Новый д. 11 407444;10;120
Снимать;ст. Ирбит ул. Черноморская д. 380 стр. 4/1 579922;2;24
Нож;с. Новосибирск пер. Разина д. 3 003354;16;304
Увеличиваться;ст. Кузнецк ш. Безымянное д. 833 стр. 1 512626;19;342
Запретить;клх Приозерск пр. Троицкий д. 4 168516;10;100
Выражение;ст. Якутск ш. Брянское д. 8/7 к. 2/1 924929;8;136
Актриса;ст. Печора бул. Пригородный д. 6 007307;1;15
Полоска;ст. Туруханск бул. Краснопартизанский д. 8 487948;19;228
Изображать;ст. Калач-на-Дону пр. ДОС д. 67 стр. 6/1 948533;5;90
Бок;д. Новороссийка наб. 40 лет Октября д. 8 стр. 4 161037;15;225
Грустный;ст. Оленек ул. Производственная д. 87 085665;17;340
Решение;г. Белорецк пр. Щорса д. 930 991919;16;224
Ручей;клх Орск алл. Портовая д. 10 стр. 7/2 308448;18;288
Район;с. Тарко-Сале пр. Калинина д. 3 к. 426 222118;11;220
Торговля;д. Каргасок ул. Заречная д. 73 стр. 355 681965;10;100
Находить;г. Щельяюр алл. Цветочная д. 1 стр. 89 339330;13;195
Да;д. Новая Игирма бул. Технический д. 7/9 стр. 1/5 119863;4;52
Дрогнуть;г. Усть-Баргузин ш. Элеваторное д. 33 к. 4 480919;11;132
Ленинград;к. Павловский Посад пер. Алтайский д. 7/1 стр. 73 570114;14;140
Висеть;клх Каневская ш. Ленское д. 7 359847;7;112
Сомнительный;п. Ирбит ш. Чайковского д. 8 стр. 4 295253;15;240
Юный;с. Югорск бул. Флотский д. 86 стр. 63 897753;3;30
Выражение;клх Гремячинск (Бурят.) наб. Коминтерна д. 1 935103;9;180
Полюбить;клх Магнитогорск бул. Радищева д. 25 стр. 84 301039;2;20
Растеряться;клх Баксан бул. Ленина д. 4/3 стр. 50 803888;3;60
Прошептать;д. Шарья пер. Угольный д. 6/2 к. 6 490959;18;252
Мусор;п. Советский пр. Горького д. 19 к. 6 263711;16;240
Протягивать;д. Билибино бул. Нефтяников д. 4 стр. 9 518877;14;140
Отражение;клх Дербент пер. 60 лет Октября д. 69 103358;13;247
Освободить;п. Алексин пр. Проточный д. 6/6 к. 9/1 851739;17;306
Расстройство;п. Минусинск пр. Станиславского д. 75 к. 6/3 423417;8;104
Проход;д. Александров наб. Лесная д. 38 стр. 283 147390;12;228
Висеть;ст. Можайск алл. Пожарского д. 7/5 стр. 4 333087;7;119
Инфекция;с. Кемерово наб. Гражданская д. 11 стр. 8 940958;2;34
Приятель;клх Обнинск ш. Советов д. 5 стр. 84 451485;2;34
Лететь;г. Лагань пер. Рязанский д. 320 к. 5 803672;7;91
Потрясти;к. Новороссийка ул. Зеленая д. 544 104454;5;60
Растеряться;д. Нарткала бул. Волкова д. 8 807583;6;114
Постоянный;к. Можайск пер. Физкультурный д. 633 к. 9 681943;5;90
Порт;к. Соболево ш. Физкультурное д. 2/6 к. 7/5 697050;3;54
Новый;п. Билибино наб. Кольцова д. 3/5 991010;7;70
Художественный;клх Абакан алл. Черемуховая д. 1/9 491618;6;108
Дурацкий;к. Новокузнецк ш. Осипенко д. 4/6 стр. 3/4 087246;9;117
Изучить;г. Анива пр. Абрикосовый д. 6/8 стр. 2/7 094513;20;200
Миф;г. Чебаркуль ул. Владимирская д. 1/2 786668;18;270
Зеленый;п. Шахты наб. Ильича д. 53 641876;5;50
Покидать;г. Октябрьский (Башк.) алл. Кооперативная д. 673 к. 609 573072;7;119
Нервно;п. Муравленко алл. Мичурина д. 8 к. 2/5 964174;5;70
Дьявол;с. Терскол ул. Сибирская д. 69 777935;10;170
Сынок;к. Волгодонск бул. Бульварный д. 78 616787;2;20
Полюбить;д. Заводоуковск наб. Чапаева д. 883 стр. 14 014025;2;40
Низкий;д. Медногорск ул. Победа д. 94 к. 51 012979;13;143
Грудь;к. Канск пр. Высокий д. 45 к. 546 063790;4;40
Жидкий;с. Кировск (Мурм.) пр. Речной д. 3/8 стр. 38 879460;15;195
Командир;клх Томск бул. Минский д. 7 984104;18;252
Запустить;ст. Тура ш. Орловское д. 570 492874;12;132
Перебивать;к. Южноуральск ул. Механизаторов д. 8 к. 94 580375;13;208
Да;клх Череповец ш. Февральское д. 6/1 035488;19;266
Грудь;ст. Жигулевск пр. Виноградный д. 2/5 стр. 11 194358;15;180
Ставить;к. Саратов алл. Советской Армии д. 682 стр. 18 432574;1;15
При;с. Партизанск пер. Народный д. 74 к. 8/3 595610;15;255
Указанный;ст. Волхов ул. Пограничная д. 894 к. 17 419685;4;52
Уронить;клх Арзамас пр. Транспортный д. 8/1 стр. 13 681301;3;48
Мягкий;д. Шаховская ш. Красногвардейское д. 521 к. 390 659045;19;266
Перебивать;клх Шатки бул. Братский д. 7 стр. 84 595148;17;221
Сынок;с. Сеймчан алл. Брянская д. 7 034972;15;195
Заработать;д. Братск ш. Трудовое д. 7 стр. 3/8 022713;19;323
Постоянный;д. Котельнич бул. Юбилейный д. 3 стр. 1/9 563412;4;68
Возможно;клх Плесецк ш. Жданова д. 964 стр. 21 169814;8;152
Мера;с. Мелеуз бул. Юности д. 784 к. 620 058262;5;70
Премьера;п. Троицк (Моск.) пер. Дружба д. 4/9 к. 1 400296;12;168
Хлеб;п. Троицк (Челяб.) наб. Рылеева д. 224 стр. 84 746822;1;10
Деньги;к. Мончегорск наб. Чехова д. 2/6 988375;15;210
Функция;к. Тосно ул. Правды д. 7/5 к. 9 721016;14;182
Уничтожение;к. Джубга пер. Металлургов д. 525 853061;8;152
Плясать;ст. Партизанск ш. Ленское д. 330 269221;6;72
Холодно;д. Камень-на-Оби алл. Загородная д. 35 424675;9;126
Уточнить;к. Чайковский бул. Песочный д. 344 638810;13;195
Ставить;г. Иркутск алл. Заливная д. 84 стр. 449 844507;17;221
Миг;клх Инта пер. Воронежский д. 1 стр. 2/6 971292;16;160
Граница;д. Углегорск ш. Верхнее д. 3 стр. 52 251795;3;45
Угроза;п. Змеиногорск пр. Дальневосточный д. 51 стр. 9/3 445385;5;75
Неожиданно;к. Ижевск пер. Плеханова д. 7 722937;19;285
Через;клх Усть-Ордынский ш. Инженерное д. 3/4 к. 912 154458;12;192
Жестокий;п. Югорск бул. Бабушкина д. 6 081792;16;320
Падать;д. Каргасок ш. Рябиновое д. 37 к. 60 115046;15;165
Кольцо;г. Кропоткин (Краснод.) бул. Дорожный д. 4/8 917114;10;150
Госпожа;клх Сеймчан алл. Фадеева д. 126 459090;13;234
Миллиард;к. Дно пер. Николаева д. 950 стр. 54 323283;2;32
Правление;д. Асбест пр. ДОС д. 56 стр. 44 395670;8;120
Господь;ст. Урус-Мартан пер. Короткий д. 5/2 стр. 647 720988;11;110
Посвятить;д. Бузулук наб. Новгородская д. 23 стр. 5/8 365007;2;22
Ответить;с. Майкоп пер. Родниковый д. 3 стр. 553 737797;12;132
Песенка;клх Барнаул пер. Бабушкина д. 13 стр. 6 764197;10;190
Помолчать;клх Хасан наб. Виноградная д. 358 к. 27 610492;7;70
Носок;к. Королев ул. Рябиновая д. 2/7 к. 465 337582;16;256
Салон;с. Армавир алл. Ударная д. 833 стр. 217 172036;19;323
Плод;п. Нурлат пр. Коммунаров д. 935 527714;17;306
Прощение;г. Ведено ул. 9 Января д. 6 015367;20;340
Слать;клх Урюпинск бул. Гвардейский д. 70 стр. 186 400249;1;12
Бегать;д. Ноябрьск бул. Горького д. 2 стр. 932 388606;6;60
Способ;д. Джейрах пер. Тургенева д. 1/9 стр. 97 651695;7;126
Висеть;клх Долинск наб. Подстанция д. 509 281611;14;182
Промолчать;п. Екатеринбург пр. Новгородский д. 223 стр. 3 328797;18;180
Человечек;д. Апатиты ул. Гражданская д. 5/5 к. 3 937287;5;100
Расстройство;д. Семлячики наб. Революции д. 681 773458;11;121
Основание;д. Красноярск пер. Пионерский д. 102 240989;3;54
Полевой;д. Махачкала наб. Широкая д. 98 989513;3;60
Разводить;к. Петушки пер. Пограничный д. 685 стр. 50 540341;5;90
Палец;г. Соль-Илецк наб. Тульская д. 202 к. 83 438357;1;20
Девка;к. Воткинск алл. Таежная д. 5 269813;12;240
Инфекция;с. Петухово ш. Правды д. 6/6 к. 66 563510;14;266
Пятеро;ст. Беломорск бул. Юбилейный д. 5/9 к. 1/4 545405;9;153
Магазин;клх Валдай ш. Шаумяна д. 5/1 к. 15 183092;1;16
Вряд;д. Нарьян-Мар пр. Щорса д. 1/5 стр. 1 710880;7;98
Решетка;ст. Камень-на-Оби ул. Болотная д. 86 стр. 256 907660;10;120
Поколение;клх Неплюевка наб. Толстого д. 3/7 699271;15;240
Актриса;клх Зеленоград бул. Матросова д. 1/5 к. 885 146491;8;144
Слишком;п. Мценск бул. Березовый д. 9 стр. 7 709510;14;196
Мелочь;д. Тымовское алл. Ильича д. 775 134274;4;68
Очко;к. Ямбург пр. Высоковольтный д. 45 стр. 66 373945;13;156
Славный;клх Хабаровск пер. Томский д. 92 к. 4 370694;5;90
Художественный;п. Королев пер. ДОС д. 95 стр. 3 335421;3;36
Настать;д. Партизанск пр. Прохладный д. 75 261448;17;204
Сравнение;ст. Карпинск ул. Степная д. 79 842652;14;224
Социалистический;д. Щелково пр. Малиновый д. 8 стр. 8/2 545690;3;54
Отметить;с. Чебаркуль бул. Садовый д. 92 233061;2;36
Пастух;г. Выборг алл. Аэродромная д. 476 к. 772 068729;20;340
Приятель;ст. Анадырь пер. Лесозаводский д. 2/4 к. 11 001740;11;154
